product_id,gross_price,week,year,nb_sold_pieces,date
1,13.68,1,2017,151,2017-01-02
1,13.68,1,2018,128,2018-01-01
1,13.68,1,2019,108,2019-01-07
1,13.68,2,2017,130,2017-01-09
1,13.68,2,2018,123,2018-01-08
1,13.68,2,2019,136,2019-01-14
1,13.68,3,2017,116,2017-01-16
1,13.68,3,2018,151,2018-01-15
1,13.68,3,2019,120,2019-01-21
1,13.68,4,2017,136,2017-01-23
1,13.68,4,2018,130,2018-01-22
1,13.68,4,2019,123,2019-01-28
1,13.68,5,2017,120,2017-01-30
1,13.68,5,2018,116,2018-01-29
1,13.68,5,2019,151,2019-02-04
1,13.68,6,2017,123,2017-02-06
1,13.68,6,2018,136,2018-02-05
1,13.68,6,2019,130,2019-02-11
1,13.68,7,2017,151,2017-02-13
1,13.68,7,2018,120,2018-02-12
1,13.68,7,2019,116,2019-02-18
1,13.68,8,2017,130,2017-02-20
1,13.68,8,2018,123,2018-02-19
1,13.68,8,2019,136,2019-02-25
1,13.68,9,2017,116,2017-02-27
1,13.68,9,2018,151,2018-02-26
1,13.68,9,2019,120,2019-03-04
1,13.68,10,2017,136,2017-03-06
1,13.68,10,2018,130,2018-03-05
1,13.68,10,2019,123,2019-03-11
1,13.68,11,2017,120,2017-03-13
1,13.68,11,2018,116,2018-03-12
1,13.68,11,2019,151,2019-03-18
1,13.68,12,2017,123,2017-03-20
1,13.68,12,2018,136,2018-03-19
1,13.68,12,2019,130,2019-03-25
1,13.68,13,2017,151,2017-03-27
1,13.68,13,2018,120,2018-03-26
1,13.68,13,2019,116,2019-04-01
1,13.68,14,2017,130,2017-04-03
1,13.68,14,2018,123,2018-04-02
1,13.68,14,2019,136,2019-04-08
1,13.68,15,2017,116,2017-04-10
1,13.68,15,2018,151,2018-04-09
1,13.68,15,2019,120,2019-04-15
1,13.68,16,2017,136,2017-04-17
1,13.68,16,2018,130,2018-04-16
1,13.68,16,2019,123,2019-04-22
1,13.68,17,2017,120,2017-04-24
1,13.68,17,2018,116,2018-04-23
1,13.68,17,2019,151,2019-04-29
1,13.68,18,2017,123,2017-05-01
1,13.68,18,2018,136,2018-04-30
1,13.68,18,2019,130,2019-05-06
1,13.68,19,2017,151,2017-05-08
1,13.68,19,2018,120,2018-05-07
1,13.68,19,2019,116,2019-05-13
1,13.68,20,2017,130,2017-05-15
1,13.68,20,2018,123,2018-05-14
1,13.68,20,2019,136,2019-05-20
1,13.68,21,2017,116,2017-05-22
1,13.68,21,2018,151,2018-05-21
1,13.68,21,2019,120,2019-05-27
1,13.68,22,2016,123,2016-05-30
1,13.68,22,2017,136,2017-05-29
1,13.68,22,2018,130,2018-05-28
1,13.68,22,2019,67,2019-06-03
1,13.68,23,2016,151,2016-06-06
1,13.68,23,2017,120,2017-06-05
1,13.68,23,2018,116,2018-06-04
1,13.68,24,2016,130,2016-06-13
1,13.68,24,2017,123,2017-06-12
1,13.68,24,2018,136,2018-06-11
1,13.68,25,2016,116,2016-06-20
1,13.68,25,2017,151,2017-06-19
1,13.68,25,2018,120,2018-06-18
1,13.68,26,2016,136,2016-06-27
1,13.68,26,2017,130,2017-06-26
1,13.68,26,2018,123,2018-06-25
1,13.68,27,2016,120,2016-07-04
1,13.68,27,2017,116,2017-07-03
1,13.68,27,2018,151,2018-07-02
1,13.68,28,2016,123,2016-07-11
1,13.68,28,2017,136,2017-07-10
1,13.68,28,2018,130,2018-07-09
1,13.68,29,2016,151,2016-07-18
1,13.68,29,2017,120,2017-07-17
1,13.68,29,2018,116,2018-07-16
1,13.68,30,2016,130,2016-07-25
1,13.68,30,2017,123,2017-07-24
1,13.68,30,2018,136,2018-07-23
1,13.68,31,2016,116,2016-08-01
1,13.68,31,2017,151,2017-07-31
1,13.68,31,2018,120,2018-07-30
1,13.68,32,2016,136,2016-08-08
1,13.68,32,2017,130,2017-08-07
1,13.68,32,2018,123,2018-08-06
1,13.68,33,2016,120,2016-08-15
1,13.68,33,2017,116,2017-08-14
1,13.68,33,2018,151,2018-08-13
1,13.68,34,2016,123,2016-08-22
1,13.68,34,2017,136,2017-08-21
1,13.68,34,2018,130,2018-08-20
1,13.68,35,2016,151,2016-08-29
1,13.68,35,2017,120,2017-08-28
1,13.68,35,2018,116,2018-08-27
1,13.68,36,2016,130,2016-09-05
1,13.68,36,2017,123,2017-09-04
1,13.68,36,2018,136,2018-09-03
1,13.68,37,2016,116,2016-09-12
1,13.68,37,2017,151,2017-09-11
1,13.68,37,2018,120,2018-09-10
1,13.68,38,2016,136,2016-09-19
1,13.68,38,2017,130,2017-09-18
1,13.68,38,2018,123,2018-09-17
1,13.68,39,2016,120,2016-09-26
1,13.68,39,2017,116,2017-09-25
1,13.68,39,2018,151,2018-09-24
